 START TIME,FINISH TIME,TOPIC,PRESENTER/FACILITATOR(S)
8:00 AM,10:00 AM,COMMITTEE ARRIVAL FOR SETUP,ALL COMMITTEE MEMBERS
10:00,10:15 AM,WElCOME/ PRAYER,DR. McCONNER & MR. MCKINNEY/ BISHIOP TRIPLETT
10:15,10:30 AM,ICE BREAKER, MR. JERMAINE MCKINNEY
10:30 AM,11:10 AM,BREAK OUT GROUPS (1&2) ROTATION,GROUP FACILITATORS
11:10 AM,11:20 AM,PARTICIPANTS BREAK,GROUP PARTICIPANTS
11:30 AM,12:00 AM,MAYOR HENRY PRESENTATION,MAYOR OF DAYTONA BEACH FLORIDA  THE HONORABLE DERRICK L. HENRY
12:00 PM,12:30 PM,LUNCH BREAK,COMMITTEE MEMBERS/ OMEGA PSI PHI
12:30 PM,1:10 PM,BREAK OUT GROUPS (3 & 4) ROTATION,GROUP FACILITATORS 
1:10 PM,1:40 PM,BLACK HISTORY PRESENTATION,DR. HEADLEY WHITE
1:40 PM,2:20 PM,BREAK OUT GROUPS (5 & 6) ROTATION,GROUP FACILITATORS
2:20 PM,2:50 PM,POWER OF THE TIE PRESENTATION,MR. MAYNER & MR. JERMAINE MCKINNEY
2:50 PM,3:30 PM,PARTICIPANTS FEEDBACK/ PRESENTATION OF CERTIFICATES & CLOSING CEREMONY,GROUP PARTICIPANTS/ DR. McCONNER & MR. MCKINNEY 
